"event","user_id","page_url","params_json","created_at"
"page_view","47fc1ec2-4dc2-4b70-9df2-d1864152102d","/auth/confirmed","{""url"":""/auth/confirmed#access_token=eyJhbGciOiJIUzI1NiIsImtpZCI6IlcxRnNPRU1OeGJwNFM1SU0iLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL2hteGxmb3VyemJzcW9qeWFuZnRsLnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiI0N2ZjMWVjMi00ZGMyLTRiNzAtOWRmMi1kMTg2NDE1MjEwMmQiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzczOTQyMDUyLCJpYXQiOjE3NzM5Mzg0NTIsImVtYWlsIjoicnltYXJtYXJ5MjAwM0BnbWFpbC5jb20iLCJwaG9uZSI6IiIsImFwcF9tZXRhZGF0YSI6eyJwcm92aWRlciI6ImVtYWlsIiwicHJvdmlkZXJzIjpbImVtYWlsIl19LCJ1c2VyX21ldGFkYXRhIjp7ImVtYWlsIjoicnltYXJtYXJ5MjAwM0BnbWFpbC5jb20iLCJlbWFpbF92ZXJpZmllZCI6dHJ1ZSwicGhvbmVfdmVyaWZpZWQiOmZhbHNlLCJzdWIiOiI0N2ZjMWVjMi00ZGMyLTRiNzAtOWRmMi1kMTg2NDE1MjEwMmQifSwicm9sZSI6ImF1dGhlbnRpY2F0ZWQiLCJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJvdHAiLCJ0aW1lc3RhbXAiOjE3NzM5Mzg0NTJ9XSwic2Vzc2lvbl9pZCI6IjQwYjJjOTA2LTEwZjMtNDM1OC1iNTlkLTM1OTQzNzdjNjQwMiIsImlzX2Fub255bW91cyI6ZmFsc2V9.a7BsP-wQJ5XxAve_nrhgYsdSRyt5UYZEaDzDUduHxNo&expires_at=1773942052&expires_in=3600&refresh_token=a4kffffp6anb&sb=&token_type=bearer&type=signup""}","2026-03-19 16:40:57"
"page_view","90a8d48d-8900-46cf-875a-25883a94c1c8","/","{""url"":""/""}","2026-03-19 16:41:08"
"page_view","eb39e8e2-3fd1-43ff-9cfa-fcf8ec221852","/","{""url"":""/""}","2026-03-19 16:47:49"
"page_view","fdc9ca3a-db2e-4150-8279-5ac0eb1bb797","/","{""url"":""/""}","2026-03-19 16:47:50"
"page_view","afcb3a69-04ab-403f-8952-255004ecec5f","/","{""url"":""/""}","2026-03-19 16:51:17"
"page_view","47560f1a-ab69-41e0-a1bb-40a5d2c277dd","/","{""url"":""/""}","2026-03-19 16:51:18"
"page_view","105cc073-cf9e-4d86-a7cd-2cba0e031935","/","{""url"":""/""}","2026-03-19 18:40:26"
"quiz_start","105cc073-cf9e-4d86-a7cd-2cba0e031935","/","{}","2026-03-19 18:40:36"
"quiz_start","105cc073-cf9e-4d86-a7cd-2cba0e031935","/quiz","{}","2026-03-19 18:40:36"
"page_view","105cc073-cf9e-4d86-a7cd-2cba0e031935","/quiz","{""url"":""/quiz""}","2026-03-19 18:40:37"
