user_id,habit,date,value
0a1e05ae-f9b2-46a1-82d3-79f56fe8dba7,Отключать уведомления во время фокусной работы,12.03,false
d184b2f1-38c3-4f36-9498-fc32644002e2,Начинать утро без телефона,11.03,true
d184b2f1-38c3-4f36-9498-fc32644002e2,Не брать телефон в руки после 22:00,23.03,true
d184b2f1-38c3-4f36-9498-fc32644002e2,Ограничивать соцсети до 30 минут в день,13.03,true
d184b2f1-38c3-4f36-9498-fc32644002e2,Ограничивать соцсети до 30 минут в день,23.03,true
d184b2f1-38c3-4f36-9498-fc32644002e2,Отключать уведомления во время фокусной работы,17.03,true
d184b2f1-38c3-4f36-9498-fc32644002e2,Отключать уведомления во время фокусной работы,20.03,true
f28ed940-e77e-4f7b-bcda-39a944827f38,test2,13.03,true
f28ed940-e77e-4f7b-bcda-39a944827f38,test2,18.03,true
f28ed940-e77e-4f7b-bcda-39a944827f38,Не брать телефон в руки после 22:00,10.03,true
f28ed940-e77e-4f7b-bcda-39a944827f38,Не брать телефон в руки после 22:00,11.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,08.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,09.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,10.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,11.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,12.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,13.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,14.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,15.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,16.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,17.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,18.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,19.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,905295094204,20.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,08.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,09.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,10.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,17.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Мяу,19.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Начинать утро без телефона,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Начинать утро без телефона,15.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Не брать телефон в руки после 22:00,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Не брать телефон в руки после 22:00,10.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Не брать телефон в руки после 22:00,11.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Не брать телефон в руки после 22:00,15.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Не брать телефон в руки после 22:00,17.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,08.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,10.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,13.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,14.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,16.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,17.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Ограничивать соцсети до 30 минут в день,19.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Отключать уведомления во время фокусной работы,07.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Отключать уведомления во время фокусной работы,14.03,true
fc9bcb14-2484-404f-9af3-dcb406ef3a07,Отключать уведомления во время фокусной работы,17.03,true
